timestamp,window,true_hr,true_spo2
2026-03-19T16:00:12.306,1,84,96
2026-03-19T16:00:14.886,1,87,96
2026-03-19T16:00:16.751,1,90,96
2026-03-19T16:00:18.970,1,89,96
2026-03-19T16:00:20.754,1,89,96
2026-03-19T16:00:22.128,1,88,96
2026-03-19T16:00:34.618,2,86,97
2026-03-19T16:00:39.447,2,86,97
2026-03-19T16:00:41.556,2,81,97
2026-03-19T16:00:43.547,2,80,97
2026-03-19T16:00:49.368,3,81,97
2026-03-19T16:00:50.834,3,80,97
2026-03-19T16:00:52.237,3,78,97
2026-03-19T16:00:53.593,3,79,97
2026-03-19T16:01:03.091,4,78,97
2026-03-19T16:01:04.799,4,76,97
2026-03-19T16:01:06.395,4,75,97
2026-03-19T16:01:08.212,4,76,97
2026-03-19T16:01:10.151,4,83,97
2026-03-19T16:01:11.750,4,82,97
2026-03-19T16:01:18.918,5,80,96
2026-03-19T16:01:20.422,5,77,96
2026-03-19T16:01:23.853,5,73,96
2026-03-19T16:01:26.346,5,76,95
2026-03-19T16:01:28.165,5,78,96
2026-03-19T16:01:32.631,6,81,96
2026-03-19T16:01:34.978,6,85,96
2026-03-19T16:01:36.630,6,84,96
2026-03-19T16:01:37.827,6,83,96
2026-03-19T16:01:39.592,6,79,96
2026-03-19T16:01:41.383,6,77,96
2026-03-19T16:01:46.926,7,81,97
2026-03-19T16:01:48.475,7,81,96
2026-03-19T16:01:50.173,7,81,96
2026-03-19T16:01:51.492,7,81,96
2026-03-19T16:01:53.506,7,80,96
2026-03-19T16:01:55.527,7,78,96
2026-03-19T16:02:10.405,8,85,97
2026-03-19T16:02:11.654,8,83,97
2026-03-19T16:02:14.167,8,80,96
2026-03-19T16:02:15.930,8,75,96
2026-03-19T16:02:17.987,8,78,96
2026-03-19T16:02:19.619,8,83,96
2026-03-19T16:02:23.420,9,79,97
2026-03-19T16:02:25.560,9,74,97
2026-03-19T16:02:27.448,9,70,97
2026-03-19T16:02:28.889,9,70,97
2026-03-19T16:02:30.442,9,75,97
2026-03-19T16:02:35.982,10,81,98
2026-03-19T16:02:37.485,10,77,98
2026-03-19T16:02:39.679,10,74,98
2026-03-19T16:02:41.352,10,75,98
2026-03-19T16:02:43.548,10,83,98
2026-03-19T16:02:45.493,10,89,98
2026-03-19T16:02:54.317,11,78,97
2026-03-19T16:02:55.869,11,79,97
2026-03-19T16:02:58.416,11,86,97
2026-03-19T16:03:00.672,11,84,97
2026-03-19T16:03:02.470,11,82,97
2026-03-19T16:03:04.320,11,81,97
2026-03-19T16:03:08.401,12,83,97
2026-03-19T16:03:09.974,12,85,97
2026-03-19T16:03:11.628,12,88,97
2026-03-19T16:03:13.057,12,88,97
2026-03-19T16:03:14.588,12,85,97
2026-03-19T16:03:16.929,12,82,97
2026-03-19T16:03:18.215,12,80,97
2026-03-19T16:03:22.638,13,83,97
2026-03-19T16:03:24.195,13,81,97
