timestamp,window,true_hr,true_spo2
2026-04-16T16:47:36.588,1,81,96
2026-04-16T16:47:36.588,1,82,97
2026-04-16T16:47:36.588,1,82,97
2026-04-16T16:47:36.588,1,82,97
2026-04-16T16:47:36.588,1,82,97
2026-04-16T16:47:36.588,1,81,97
2026-04-16T16:47:36.588,1,81,98
2026-04-16T16:47:36.588,1,77,98
2026-04-16T16:47:36.588,1,75,97
2026-04-16T16:47:36.588,1,75,97
2026-04-16T16:47:36.588,1,79,97
2026-04-16T16:47:36.588,1,80,97
2026-04-16T16:47:36.588,1,78,97
2026-04-16T16:47:36.588,1,77,97
2026-04-16T16:47:36.588,1,76,97
2026-04-16T16:47:36.588,1,76,97
2026-04-16T16:47:36.588,1,74,97
2026-04-16T16:47:36.588,1,73,97
2026-04-16T16:47:36.588,1,72,97
2026-04-16T16:47:36.588,1,74,97
2026-04-16T16:47:36.588,1,77,97
2026-04-16T16:47:36.588,1,77,97
2026-04-16T16:47:36.588,1,74,96
2026-04-16T16:47:36.588,1,76,96
2026-04-16T16:47:36.588,1,81,96
2026-04-16T16:47:36.588,1,80,96
2026-04-16T16:47:36.588,1,75,96
2026-04-16T16:47:36.588,1,73,96
2026-04-16T16:47:36.588,1,77,96
2026-04-16T16:47:36.588,1,81,96
2026-04-16T16:47:36.588,1,80,96
2026-04-16T16:47:36.588,1,79,96
2026-04-16T16:48:15.619,2,77,96
2026-04-16T16:48:15.619,2,83,97
2026-04-16T16:48:15.619,2,85,96
2026-04-16T16:48:15.619,2,87,97
2026-04-16T16:48:15.619,2,84,97
2026-04-16T16:48:15.619,2,79,97
2026-04-16T16:48:15.619,2,76,97
2026-04-16T16:48:15.619,2,70,97
2026-04-16T16:48:15.619,2,69,97
2026-04-16T16:48:15.619,2,69,97
2026-04-16T16:48:15.619,2,71,97
2026-04-16T16:48:15.619,2,72,98
2026-04-16T16:48:15.619,2,78,98
2026-04-16T16:48:15.619,2,80,98
2026-04-16T16:48:15.619,2,77,97
2026-04-16T16:48:15.619,2,75,97
2026-04-16T16:48:15.619,2,70,97
2026-04-16T16:48:49.576,3,69,97
2026-04-16T16:48:49.576,3,70,97
2026-04-16T16:48:49.576,3,72,97
2026-04-16T16:48:49.576,3,74,97
2026-04-16T16:48:49.576,3,79,97
2026-04-16T16:48:49.576,3,80,97
2026-04-16T16:48:49.576,3,82,97
2026-04-16T16:48:49.576,3,82,97
2026-04-16T16:48:49.576,3,82,97
2026-04-16T16:48:49.576,3,84,97
2026-04-16T16:48:49.576,3,84,97
2026-04-16T16:48:49.576,3,84,97
2026-04-16T16:48:49.576,3,84,97
2026-04-16T16:48:49.576,3,84,97
2026-04-16T16:48:49.576,3,84,97
2026-04-16T16:48:49.576,3,82,97
2026-04-16T16:48:49.576,3,78,97
2026-04-16T16:48:49.576,3,76,97
2026-04-16T16:48:49.576,3,74,97
2026-04-16T16:49:25.411,4,76,97
2026-04-16T16:49:25.411,4,81,97
2026-04-16T16:49:25.411,4,84,97
2026-04-16T16:49:25.411,4,84,97
