timestamp,window,sample,ir_raw,red_raw
2026-03-19T16:27:24.599,1,0,252133,176960
2026-03-19T16:27:24.639,1,1,252133,176960
2026-03-19T16:27:24.679,1,2,252223,176992
2026-03-19T16:27:24.718,1,3,252223,176992
2026-03-19T16:27:24.759,1,4,252223,176992
2026-03-19T16:27:24.798,1,5,252223,176992
2026-03-19T16:27:24.838,1,6,252027,176952
2026-03-19T16:27:24.878,1,7,252027,176952
2026-03-19T16:27:24.918,1,8,252027,176952
2026-03-19T16:27:24.958,1,9,252027,176952
2026-03-19T16:27:24.998,1,10,252009,176951
2026-03-19T16:27:25.038,1,11,252009,176951
2026-03-19T16:27:25.078,1,12,252009,176951
2026-03-19T16:27:25.118,1,13,252009,176951
2026-03-19T16:27:25.157,1,14,252002,176965
2026-03-19T16:27:25.198,1,15,252002,176965
2026-03-19T16:27:25.237,1,16,252002,176965
2026-03-19T16:27:25.277,1,17,252002,176965
2026-03-19T16:27:25.316,1,18,252064,176977
2026-03-19T16:27:25.356,1,19,252064,176977
2026-03-19T16:27:25.396,1,20,252064,176977
2026-03-19T16:27:25.436,1,21,252064,176977
2026-03-19T16:27:25.476,1,22,252042,176975
2026-03-19T16:27:25.516,1,23,252042,176975
2026-03-19T16:27:25.556,1,24,252042,176975
2026-03-19T16:27:25.596,1,25,252042,176975
2026-03-19T16:27:25.636,1,26,251811,176906
2026-03-19T16:27:25.676,1,27,251811,176906
2026-03-19T16:27:25.715,1,28,251811,176906
2026-03-19T16:27:25.755,1,29,251811,176906
2026-03-19T16:27:25.796,1,30,251792,176914
2026-03-19T16:27:25.835,1,31,251792,176914
2026-03-19T16:27:25.876,1,32,251792,176914
2026-03-19T16:27:25.915,1,33,251792,176914
2026-03-19T16:27:25.955,1,34,251827,176933
2026-03-19T16:27:25.994,1,35,251827,176933
2026-03-19T16:27:26.035,1,36,251827,176933
2026-03-19T16:27:26.074,1,37,251827,176933
2026-03-19T16:27:26.114,1,38,251945,176963
2026-03-19T16:27:26.154,1,39,251945,176963
2026-03-19T16:27:26.193,1,40,251945,176963
2026-03-19T16:27:26.234,1,41,251945,176963
2026-03-19T16:27:26.274,1,42,251755,176910
2026-03-19T16:27:26.314,1,43,251755,176910
2026-03-19T16:27:26.353,1,44,251755,176910
2026-03-19T16:27:26.393,1,45,251755,176910
2026-03-19T16:27:26.433,1,46,251662,176889
2026-03-19T16:27:26.473,1,47,251662,176889
2026-03-19T16:27:26.513,1,48,251662,176889
2026-03-19T16:27:26.553,1,49,251662,176889
2026-03-19T16:27:26.593,1,50,251655,176894
2026-03-19T16:27:26.632,1,51,251655,176894
2026-03-19T16:27:26.672,1,52,251655,176894
2026-03-19T16:27:26.712,1,53,251655,176894
2026-03-19T16:27:26.753,1,54,251741,176917
2026-03-19T16:27:26.792,1,55,251741,176917
2026-03-19T16:27:26.832,1,56,251741,176917
2026-03-19T16:27:26.872,1,57,251741,176917
2026-03-19T16:27:26.911,1,58,251832,176940
2026-03-19T16:27:26.952,1,59,251832,176940
2026-03-19T16:27:26.991,1,60,251832,176940
2026-03-19T16:27:27.031,1,61,251832,176940
2026-03-19T16:27:27.071,1,62,251647,176892
2026-03-19T16:27:27.110,1,63,251647,176892
2026-03-19T16:27:27.151,1,64,251647,176892
2026-03-19T16:27:27.191,1,65,251647,176892
2026-03-19T16:27:27.231,1,66,251597,176877
2026-03-19T16:27:27.271,1,67,251597,176877
2026-03-19T16:27:27.310,1,68,251597,176877
2026-03-19T16:27:27.350,1,69,251597,176877
2026-03-19T16:27:27.390,1,70,251634,176892
2026-03-19T16:27:27.430,1,71,251634,176892
2026-03-19T16:27:27.470,1,72,251634,176892
2026-03-19T16:27:27.509,1,73,251634,176892
2026-03-19T16:27:27.550,1,74,251724,176924
2026-03-19T16:27:27.589,1,75,251724,176924
2026-03-19T16:27:27.629,1,76,251724,176924
2026-03-19T16:27:27.669,1,77,251724,176924
2026-03-19T16:27:27.709,1,78,251834,176941
2026-03-19T16:27:27.749,1,79,251834,176941
2026-03-19T16:27:27.789,1,80,251834,176941
2026-03-19T16:27:27.829,1,81,251834,176941
2026-03-19T16:27:27.869,1,82,251684,176909
2026-03-19T16:27:27.909,1,83,251684,176909
2026-03-19T16:27:27.949,1,84,251684,176909
2026-03-19T16:27:27.989,1,85,251684,176909
2026-03-19T16:27:28.028,1,86,251747,176929
2026-03-19T16:27:28.068,1,87,251747,176929
2026-03-19T16:27:28.108,1,88,251747,176929
2026-03-19T16:27:28.148,1,89,251747,176929
2026-03-19T16:27:28.187,1,90,251914,176991
2026-03-19T16:27:28.227,1,91,251914,176991
2026-03-19T16:27:28.268,1,92,251914,176991
2026-03-19T16:27:28.307,1,93,251914,176991
2026-03-19T16:27:28.347,1,94,252108,177076
2026-03-19T16:27:28.387,1,95,252108,177076
2026-03-19T16:27:28.427,1,96,252108,177076
2026-03-19T16:27:28.467,1,97,252108,177076
2026-03-19T16:27:28.507,1,98,252274,177128
2026-03-19T16:27:28.547,1,99,252274,177128
2026-03-19T16:27:28.586,1,100,252274,177128
2026-03-19T16:27:28.626,1,101,252274,177128
2026-03-19T16:27:28.666,1,102,252177,177118
2026-03-19T16:27:28.706,1,103,252177,177118
2026-03-19T16:27:28.747,1,104,252177,177118
2026-03-19T16:27:28.785,1,105,252177,177118
2026-03-19T16:27:28.825,1,106,252253,177149
2026-03-19T16:27:28.865,1,107,252253,177149
2026-03-19T16:27:28.905,1,108,252253,177149
2026-03-19T16:27:28.945,1,109,252253,177149
2026-03-19T16:27:28.985,1,110,252353,177191
2026-03-19T16:27:29.025,1,111,252353,177191
2026-03-19T16:27:29.065,1,112,252353,177191
2026-03-19T16:27:29.104,1,113,252353,177191
2026-03-19T16:27:29.145,1,114,252508,177244
2026-03-19T16:27:29.185,1,115,252508,177244
2026-03-19T16:27:29.224,1,116,252508,177244
2026-03-19T16:27:29.265,1,117,252508,177244
2026-03-19T16:27:29.304,1,118,252439,177229
2026-03-19T16:27:29.344,1,119,252439,177229
2026-03-19T16:27:29.384,1,120,252439,177229
2026-03-19T16:27:29.423,1,121,252439,177229
2026-03-19T16:27:29.463,1,122,252431,177249
2026-03-19T16:27:29.505,1,123,252431,177249
2026-03-19T16:27:29.543,1,124,252431,177249
2026-03-19T16:27:29.583,1,125,252431,177249
2026-03-19T16:27:29.623,1,126,252474,177268
2026-03-19T16:27:29.663,1,127,252474,177268
2026-03-19T16:27:29.703,1,128,252474,177268
2026-03-19T16:27:29.743,1,129,252474,177268
2026-03-19T16:27:29.783,1,130,252555,177289
2026-03-19T16:27:29.822,1,131,252555,177289
2026-03-19T16:27:29.862,1,132,252555,177289
2026-03-19T16:27:29.902,1,133,252555,177289
2026-03-19T16:27:29.942,1,134,252659,177330
